env,distract,method,task_id,mean_success,stderr_success,num_seeds
spatial,False,vip,2,0.9199999928474426,0.03741657323053964,5
spatial,False,vip,3,0.6000000059604644,0.08366599766652551,5
spatial,False,vip,4,0.10000000298023222,0.054772257926970505,5
spatial,False,vip,5,0.5800000011920929,0.1685229926693882,5
spatial,False,vip,6,0.7600000023841857,0.12884098560181298,5
spatial,False,vip,7,0.6800000011920929,0.11575836521760022,5
spatial,False,vip,8,0.6199999988079071,0.08602324719659608,5
spatial,False,vip,9,0.12000000327825544,0.04898979695442744,5
spatial,False,vqvae,0,0.4200000077486038,0.13564660135423892,5
spatial,False,vqvae,1,0.5000000029802323,0.1673320064644843,5
spatial,False,vqvae,2,0.7,0.10488088140716745,5
spatial,False,vqvae,3,0.7,0.18439088946910936,5
spatial,False,vqvae,4,0.0,0.0,5
spatial,False,vqvae,5,0.1799999952316284,0.1799999952316284,5
spatial,False,vqvae,6,0.5400000065565109,0.10770329650241013,5
spatial,False,vqvae,7,0.42000001668930054,0.12000000476837157,5
spatial,False,vqvae,8,0.2800000011920929,0.09695359690241659,5
spatial,False,vqvae,9,0.02000000029802322,0.020000000298023218,5
spatial,True,cardpol,0,0.6800000011920929,0.09695359505809188,5
spatial,True,cardpol,1,0.659999993443489,0.12884098155387264,5
spatial,True,cardpol,2,0.8799999952316284,0.07348468709235023,5
spatial,True,cardpol,3,0.5200000017881393,0.10677078229701373,5
spatial,True,cardpol,4,0.20000000447034835,0.07071067969916159,5
spatial,True,cardpol,5,0.40000001192092893,0.1378404901154075,5
spatial,True,cardpol,6,0.799999988079071,0.044721356884395436,5
spatial,True,cardpol,7,0.5200000047683716,0.10198038828465225,5
spatial,True,cardpol,8,0.34000000506639483,0.06782329974337047,5
spatial,True,cardpol,9,0.160000005364418,0.06782330237983805,5
spatial,True,curl,0,0.06000000089406966,0.040000000596046435,5
spatial,True,curl,1,0.0,0.0,5
spatial,True,curl,2,0.10000000298023222,0.054772257926970505,5
spatial,True,curl,3,0.14000000357627868,0.05099019706468422,5
spatial,True,curl,4,0.0,0.0,5
spatial,True,curl,5,0.0,0.0,5
spatial,True,curl,6,0.06000000089406966,0.024494897792834192,5
spatial,True,curl,7,0.04000000059604644,0.024494897792834192,5
spatial,True,curl,8,0.04000000059604644,0.040000000596046435,5
spatial,True,curl,9,0.0,0.0,5
spatial,True,icvf,0,0.5600000083446502,0.05099019443456236,5
spatial,True,icvf,1,0.8,0.12247448713915889,5
spatial,True,icvf,2,0.8399999856948852,0.06000000039736446,5
spatial,True,icvf,3,0.5800000011920929,0.0734846923646071,5
spatial,True,icvf,4,0.1800000041723251,0.037416575620040665,5
spatial,True,icvf,5,0.3000000074505806,0.11401754551582591,5
spatial,True,icvf,6,0.6799999982118606,0.13190905488336835,5
spatial,True,icvf,7,0.6600000023841858,0.0678232931522017,5
spatial,True,icvf,8,0.26000000834465026,0.09273618922913424,5
spatial,True,icvf,9,0.02000000029802322,0.020000000298023218,5
spatial,True,vae,0,0.40000001192092893,0.08944272376479291,5
spatial,True,vae,1,0.5000000074505806,0.13416408064918794,5
spatial,True,vae,2,0.6600000023841858,0.0812403806714206,5
spatial,True,vae,3,0.5800000071525574,0.05830952160620233,5
spatial,True,vae,4,0.02000000029802322,0.020000000298023218,5
spatial,True,vae,5,0.02000000029802322,0.020000000298023218,5
spatial,True,vae,6,0.46000000536441804,0.09273618376590041,5
spatial,True,vae,7,0.3600000083446503,0.12884098884016526,5
spatial,True,vae,8,0.3600000113248825,0.06782330281924936,5
spatial,True,vae,9,0.18000000417232515,0.07348469398683995,5
spatial,True,vip,0,0.6800000071525574,0.05830950933966762,5
spatial,True,vip,1,0.48000000715255736,0.13564660168379722,5
spatial,True,vip,2,0.7600000023841857,0.10295629990464827,5
spatial,True,vip,3,0.5600000083446502,0.05099019443456236,5
spatial,True,vip,4,0.0,0.0,5
spatial,True,vip,5,0.24000000953674316,0.11224972606362142,5
spatial,True,vip,6,0.7199999928474426,0.04898978828562031,5
spatial,True,vip,7,0.5799999982118607,0.11575836483142093,5
spatial,True,vip,8,0.3600000098347664,0.0871779811099709,5
spatial,True,vip,9,0.180000002682209,0.06633249679553921,5
spatial,True,vqvae,0,0.48000000417232513,0.08602325204682552,5
spatial,True,vqvae,1,0.5599999979138375,0.13266498803115304,5
spatial,True,vqvae,2,0.8599999904632568,0.06782330194042689,5
spatial,True,vqvae,3,0.5800000011920929,0.08602324788948601,5
spatial,True,vqvae,4,0.0,0.0,5
spatial,True,vqvae,5,0.02000000029802322,0.020000000298023218,5
spatial,True,vqvae,6,0.3800000011920929,0.11575836701977005,5
spatial,True,vqvae,7,0.30000000149011613,0.08366600211909873,5
spatial,True,vqvae,8,0.16000000387430188,0.050990196918566315,5
spatial,True,vqvae,9,0.04000000059604644,0.024494897792834192,5
